Tm,Tm_pred,Tg,Tg_pred,model_id,model
157.5,123.32404,,-8.942888,1,MPNN_RBF_dblPm
157.5,127.9324,,-8.231994,1,MPNN_RBF_dblPm
157.5,123.324036,,-8.942887,1,MPNN_RBF_dblPm
162.0,156.71675,,-9.991987,1,MPNN_RBF_dblPm
162.0,156.71675,,-9.991989,1,MPNN_RBF_dblPm
162.0,156.71675,,-9.991989,1,MPNN_RBF_dblPm
162.0,156.71675,,-9.99199,1,MPNN_RBF_dblPm
162.0,156.71675,,-9.991989,1,MPNN_RBF_dblPm
316.0,310.53375,,112.13428,1,MPNN_RBF_dblPm
316.0,310.53375,,112.13429,1,MPNN_RBF_dblPm
316.0,310.53375,,112.13429,1,MPNN_RBF_dblPm
316.0,310.53375,,112.13429,1,MPNN_RBF_dblPm
316.0,310.53375,,112.13429,1,MPNN_RBF_dblPm
,272.79263,130.0,132.25891,1,MPNN_RBF_dblPm
,267.2133,130.0,129.96483,1,MPNN_RBF_dblPm
,272.6231,130.0,132.24806,1,MPNN_RBF_dblPm
,268.27597,130.0,130.3445,1,MPNN_RBF_dblPm
,272.3574,130.0,132.12201,1,MPNN_RBF_dblPm
,268.34064,134.62,131.01732,1,MPNN_RBF_dblPm
,268.49188,134.62,130.82307,1,MPNN_RBF_dblPm
,268.25626,134.62,130.84401,1,MPNN_RBF_dblPm
,267.58,134.62,130.83125,1,MPNN_RBF_dblPm
,268.55807,134.62,130.916,1,MPNN_RBF_dblPm
107.0,110.91188,,12.159503,1,MPNN_RBF_dblPm
107.0,110.948616,,12.15453,1,MPNN_RBF_dblPm
107.0,110.989174,,12.144487,1,MPNN_RBF_dblPm
107.0,111.0131,,12.186255,1,MPNN_RBF_dblPm
107.0,110.91187,,12.159501,1,MPNN_RBF_dblPm
225.0,224.88232,71.0,71.7862,1,MPNN_RBF_dblPm
225.0,224.91824,71.0,71.65099,1,MPNN_RBF_dblPm
225.0,224.84886,71.0,71.83476,1,MPNN_RBF_dblPm
225.0,223.31961,71.0,69.81468,1,MPNN_RBF_dblPm
225.0,223.17961,71.0,69.75334,1,MPNN_RBF_dblPm
,233.14345,92.4,91.83276,1,MPNN_RBF_dblPm
,232.62917,92.4,91.71135,1,MPNN_RBF_dblPm
,232.70224,92.4,91.77296,1,MPNN_RBF_dblPm
,232.47754,92.4,91.72253,1,MPNN_RBF_dblPm
,232.43222,92.4,91.735115,1,MPNN_RBF_dblPm
,213.59813,84.5,84.78348,1,MPNN_RBF_dblPm
,212.52045,84.5,84.45913,1,MPNN_RBF_dblPm
,213.43016,84.5,84.763245,1,MPNN_RBF_dblPm
,214.11864,84.5,84.92941,1,MPNN_RBF_dblPm
,215.04207,84.5,85.27971,1,MPNN_RBF_dblPm
231.7,232.2168,,90.74721,1,MPNN_RBF_dblPm
232.4,232.1778,,90.72973,1,MPNN_RBF_dblPm
231.7,232.42763,,91.012726,1,MPNN_RBF_dblPm
232.4,232.12067,,90.69839,1,MPNN_RBF_dblPm
